Name:;Position:;Hand:;IT;SP;ST;EN;DU;DI;SK;PA;PC;DF;SC;EX;LD;OV;Nation:;Alter:;Größe:;Gewicht:;
Konstantin Wilhelmy;LW;L;48;73;49;69;50;52;59;60;42;61;58;49;26;60;GER;18;169;81;
Nils Schiffrau;D;R;64;48;61;49;63;59;55;46;54;66;37;44;37;60;GER;18;174;75;
Leon Mayer;G;R;79;55;66;58;50;41;57;73;81;NA;NA;58;28;60;GER;19;182;83;
Miikko Hirta;C;L;34;52;66;49;52;58;45;69;68;40;56;35;32;59;FIN;18;187;91;
Gerry Atrie;RW;R;43;68;51;53;44;55;69;53;50;52;61;36;29;59;IRL;19;181;83;
Shayne Wimmonds;RW;R;62;39;52;30;68;56;37;69;51;47;68;48;48;59;CAN;18;196;102;
Carl Marks;LW;L;37;66;38;60;67;28;47;59;61;62;60;27;28;59;ENG;18;177;86;
Ingo Flam;D;R;72;46;47;49;37;55;49;51;58;68;34;60;29;59;GER;17;191;106;
Zlatan Luzifa;C;L;59;71;38;44;60;33;71;53;52;28;67;34;51;58;SLO;18;193;89;
Max Icosy;C;R;48;50;51;47;46;60;55;58;59;52;54;46;40;58;GHA;18;171;63;
Norbert Piephahn;LW;R;61;35;65;40;47;43;41;55;51;62;58;30;46;58;GER;18;175;72;
Nak Terman;D;L;53;53;53;53;53;53;53;53;53;53;53;53;53;58;ISR;18;174;69;
Antti Pasti;G;L;60;58;59;55;66;54;68;53;67;NA;NA;77;29;58;EST;17;189;86;
Po Eng;C;R;46;59;42;50;62;88;53;58;56;49;53;61;43;57;CHN;17;172;71;
Adebar Storch;RW;L;37;29;70;56;37;56;50;66;29;27;77;59;38;57;POL;18;182;83;
Gustavo Holzman;RW;R;75;42;66;39;59;33;58;45;52;63;42;33;70;57;ARG;18;177;75;
Kenneth Jansson;D;L;41;57;38;67;69;45;50;47;48;78;39;27;45;57;SWE;17;201;105;
Nedjan Zogelenkic;D;R;61;35;65;40;47;43;41;55;51;62;28;30;46;57;CRO;18;184;88;
